term,PR,CI_low,CI_high,SE_logPR,p_value,p_value_full
(Intercept),0.4718068208024336,0.30678172637963386,0.7256027886101543,0.21960873373688192,0.0011973598652903815,1.1973598653e-03
age10,1.045258389362859,1.0055596653794976,1.086524388506678,0.019755025467154932,0.029183693265147907,2.9183693265e-02
sex_fMale,1.0040351643776706,0.9468556354753047,1.064667699633909,0.029916166537476436,0.8934199308879496,8.9341993089e-01
race_eth_fMexican American,0.9703064047435914,0.8761419207672545,1.0745913381954708,0.05208357906834908,0.5651640977541539,5.6516409775e-01
race_eth_fNon-Hispanic Asian,1.1544256903577654,1.033731509822023,1.2892116201308919,0.05634076624341435,0.013683633216639969,1.3683633217e-02
race_eth_fNon-Hispanic Black,1.2274352717097123,1.1435732601643611,1.3174471620826096,0.03610665737580708,5.617955094225034e-7,5.6179550942e-07
race_eth_fOther Hispanic,1.092595625658677,0.9788206154705797,1.2195954829114004,0.05610360153823684,0.12030520781992937,1.2030520782e-01
race_eth_fOther/Multi,0.9068147713317418,0.7596442476925428,1.082497540135736,0.09035100993211191,0.28378170112909934,2.8378170113e-01
pir,0.9810889930689292,0.9572106884642237,1.005562959044393,0.01257124988745767,0.13466858043150912,1.3466858043e-01
education_fLess than high school,1.0552897972731023,0.9731755385663788,1.1443326636315223,0.04132970510607615,0.19840895857496638,1.9840895857e-01
education_fHigh school/GED,1.111369194255285,1.0332456226843674,1.1953996792464017,0.03718766610652151,0.006357437811813032,6.3574378118e-03
uninsuredTRUE,1.187221324961983,1.0435449531710073,1.3506792114335593,0.06581226012157274,0.011763678063724827,1.1763678064e-02
bmi5,1.0079212044995474,0.9830991314828208,1.033370005065019,0.01272209924055301,0.5377475662448225,5.3774756624e-01
smoking_fFormer,0.9556607695476294,0.8900628353004475,1.026093293901076,0.036281094293317724,0.21668071492997454,2.1668071493e-01
smoking_fCurrent,0.8500258952240146,0.7582182439629671,0.9529499300555976,0.05831405560874414,0.007338141258003084,7.3381412580e-03
alcohol_fModerate,0.9697051694100526,0.8870442442881175,1.0600690119298655,0.04545776242209161,0.5014580392063365,5.0145803921e-01
alcohol_fHeavy,1.04478230709664,0.9071484717552665,1.2032981405018175,0.07207025101070998,0.545829123010473,5.4582912301e-01
egfr_cat_f30-59,0.8810396379713875,0.7894357584197901,0.9832729711034768,0.05601232475358508,0.027800861406856697,2.7800861407e-02
egfr_cat_f<30,0.9213140670494168,0.7967603321572666,1.0653386920567665,0.07410564469497018,0.27366752084303386,2.7366752084e-01
uacr_cat_fA2,1.268430904742614,1.1690529625818156,1.3762566894770323,0.04162583733362026,4.911482605017294e-7,4.9114826050e-07
uacr_cat_fA3,1.4846186981541771,1.314745924967297,1.6764400155595294,0.06199721242605041,4.2656854087341414e-8,4.2656854087e-08
hba1c,0.9663611092317824,0.9379702047351672,0.9956113624092691,0.015213979394407343,0.028607016667735255,2.8607016668e-02
ckm_stage_f3,1.1559031309184493,1.059021205266193,1.2616480590029657,0.04466167330528418,0.0020245565438215796,2.0245565438e-03
ckm_stage_f4,0.9747026486208629,0.9015305354135712,1.0538137266672816,0.03981557900803113,0.5225989581160215,5.2259895812e-01
