term,GVIF,Df,GVIF_adj
age10,1.7889194557669454,1,1.337504936726196
sex_f,1.2497438353356902,1,1.1179194225594662
race_eth_f,1.5331973423995344,5,1.0436618433089355
pir,1.3607622555811307,1,1.1665171475726925
education_f,1.3697084793169814,2,1.081825056551461
uninsured,1.2217978092758366,1,1.1053496321417204
bmi5,1.1992865212311452,1,1.0951194095764831
smoking_f,3.393062527496483,2,1.3572128589546042
alcohol_f,1.3872539156046624,2,1.0852729782403177
egfr_cat_f,1.2823316640184654,2,1.0641432425666086
uacr_cat_f,1.4093641505324601,2,1.0895716762043557
hba1c,1.1873175128587703,1,1.0896410018252665
antihtn_drug_classes,1.4415739535492558,1,1.2006556348717379
ckm_stage_f,1.7435812369614048,2,1.1491072023248943
diet_sodium_500,1.1700891190727474,1,1.081706577160714
cotinine_log,3.1370097533677006,1,1.7711605667944679
pa_met_min_wk_1000,1.1213406827179018,1,1.0589337480304903
