race_eth,n,threshold,pct_above,ci_lo,ci_hi,suppressed
Non-Hispanic White,2136,7.5,35.550239618390194,32.86940856666472,38.23107067011568,FALSE
Non-Hispanic White,2136,10,24.879100992560346,22.373016338168465,27.385185646952227,FALSE
Mexican American,682,7.5,25.536245843569027,21.810097477856168,29.262394209281883,FALSE
Mexican American,682,10,16.112453686774046,12.826753597719081,19.39815377582901,FALSE
Non-Hispanic Asian,715,7.5,28.735771936187437,24.682346666319493,32.789197206055384,FALSE
Non-Hispanic Asian,715,10,18.38870839171247,15.30164570943786,21.475771073987076,FALSE
Non-Hispanic Black,1269,7.5,35.55560204495918,33.01131777469553,38.09988631522283,FALSE
Non-Hispanic Black,1269,10,22.90477019514974,20.44291886316406,25.36662152713542,FALSE
Other Hispanic,601,7.5,33.55453549623432,30.142584210115718,36.96648678235292,FALSE
Other Hispanic,601,10,24.24338668542793,20.9599040049323,27.526869365923556,FALSE
Other/Multi,193,7.5,31.616198398772227,22.914494275763687,40.317902521780766,FALSE
Other/Multi,193,10,20.95995206983434,13.108087721503365,28.811816418165314,FALSE
