nhanes_cycle,ckm_stage_f,sbp_mean,dbp_mean,se.sbp_mean,se.dbp_mean
G,2,124.45865245644477,74.26325168870967,0.7180396846181,0.5522274116612819
H,2,125.3878101360543,72.5707155158697,0.616351075227891,0.3320265671774457
I,2,127.7193471545841,73.03607929557575,0.43982482435664566,0.6612066015662577
J,2,127.91847214217192,75.96140888880072,0.5482100543505941,0.5682748678354576
L,2,124.75258731287332,78.46491734295608,0.36128859509097633,0.2406096817336648
G,3,137.70415014632118,70.10279462084782,2.1221600346796774,0.9205760692892608
H,3,141.40488887187706,68.79919000454305,1.6736808078817056,1.4258000981997483
I,3,139.11843747440943,69.66115470004256,1.5914454876025241,0.9310233307891356
J,3,138.45409859800438,70.09761695358883,1.9352589516385106,0.9462234375025013
L,3,134.49433247049734,74.09543817876177,1.329220597466249,0.8229347996713454
G,4,130.44228373703478,68.66757973368799,1.1004763591545603,0.9572948712957525
H,4,125.95839359181737,66.99037536175229,1.0096236576971649,0.6730151950188465
I,4,129.82902106316706,67.13930565762897,1.5619973729418923,0.719341894115827
J,4,131.60396260826892,70.26013868704112,1.5297367889770963,1.2679455110246227
L,4,126.79083124420697,72.98868476658689,0.7023265418002488,0.5051932609456531
